REFLEX	ETYMA	LEMMA	POS [OLD]	INFLECTION CLASS [OLD]	BASE TAGS [OLD]	REFLEX INFLECTED	ETYMA INFLECTED	INFLECTED TAGS [OLD]	FL2 [[OLD]]	IRREGULARITIES	CUT	ADDED	NOTES	SOURCE [NOTES]
contio:	['komwentio:']	CONTIO	Noun	3	Nm-F-S	contio:nis	['komwentio:nes']	Gn-F-S	G3			TRUE		
contra:	['komtera:d']	CONTRA	Preposition											
convexus	['komwekttos']	CONVEXUS	Adjective	2	Nm-M-S-Ps	convexi:	['komwektti:']	Gn-M-S-Ps	G2	MORPHOLOGY		TRUE	[Morphology] The -vex- might also be by analogy with flexus, nexus; and the etymology might be *-weχso-.	
coquo:	['kʷekʷo:']	COQUO	Verb	3	1-S-Pr-Act-Ind	coquit	['kʷekʷeti']	3-S-Pr-Act-Ind	V3					
cor	['kord']	COR	Noun	3	Nm-N-S	cordis	['kordes']	Gn-N-S	G3					
corpus	['korpos']	CORPUS	Noun	3	Nm-N-S	corporis	['korpozes']	Gn-N-S	G3					
corvus	['korwos']	CORVUS	Noun	2	Nm-M-S	corvi:	['korwi:']	Gn-M-S	G2					
co:mis	['komsmis']	COMIS	Adjective	3	Nm-M/F-S-Ps	co:mis	['komsmes']	Gn-M/F-S-Ps	G3					
co:ni:veo:	['komkneiɣʷe:o:']	CONIVEO	Verb	2	1-S-Pr-Act-Ind	co:ni:vet	['komkneiɣʷe:eti']	3-S-Pr-Act-Ind	V3				Add kom-. The form in the list is the (unattested) simplex.	
co:nsta:ns	['komstaje:nts']	CONSTO	Adjective	3	Nm-M/F/N-S-Ps	co:nstantis	['komstaje:nts']	Gn-M/F/N-S-Ps	G3					
co:nsto:	['komstaje:o:']	CONSTO	Verb	1	1-S-Pr-Act-Ind	co:nstat	['komstaje:eti']	3-S-Pr-Act-Ind	V3					
co:s	['ko:tis']	COS	Noun	3	Nm-F-S	co:tis	['ko:tes']	Gn-F-S	G3					
co:ram	['koo:sa:m']	CORAM	Preposition									TRUE		
corium	['korjom']	CORIUM	Noun	2	Nm-N-S	corii:	['korji:']	Gn-N-S	G2			TRUE		
corpus	['korpos']		Noun	3	Nm-N-S	corporis	['korpores']	Gn-N-S	G3		TRUE	TRUE		
corvus	['korwos']		Noun	2	Nm-M-S	corvi:	['korwi:']	Gn-M-S	G2		TRUE	TRUE		
co:turni:x	['kwaktri:x']										TRUE		I think I would cut this one. The etymology is uncertain and muddy, the ultimate outcome is probably contaminated by co:rni:x, the initial syllable varies in quantity, and there are various doublets.	
co:s	['ko:ts']		Noun	3	Nm-N-S	co:tis	['ko:tes']	Gn-N-S	G3		TRUE	TRUE		
coxa	['koksa:']	COXA	Noun	1	Nm-F-S	coxae	['koksa:i:']	Gn-F-S	G1			TRUE		
coxendi:x	['koksedni:ks']	COXENDIX	Noun	3	Nm-F-S	coxendi:cis	['koksedni:kes']	Gn-F-S	G3			TRUE		
crassus	['krattos']	CRASSUS	Adjective	2	Nm-M-S-Ps	crassi:	['kratti:']	Gn-M-S-Ps	G2				There isn't a known pre-form for this word.	
cra:bro:	['kra:zro:']	CRABRO	Noun	3	Nm-M-S	cra:bro:nis	['kra:zro:nis']	Gn-M-S	G3					
cra:s	['kra:s']	CRAS	Adverb		Ps									
cra:tis	['kra:tis']	CRATIS	Noun	3	Nm-F-S	cra:tis	['kra:tes']	Gn-F-S	G3			TRUE		
creo:	['kre:a:jo:']	CREO	Verb	1	1-S-Pr-Act-Ind	creat	['kre:a:jeti:']	3-S-Pr-Act-Ind	V3					
cre:do:	['krezðo:']	CREDO	Verb	3	1-S-Pr-Act-Ind	cre:dit	['krezðeti']	3-S-Pr-Act-Ind	V3					
creper	['kreperos']	CREPER	Adjective	2	Nm-M-S-Ps	creperi:	['kreperi:']	Gn-M-S-Ps	G2			TRUE		
crepo:	['krepa:jo:']	CREPO	Verb	1	1-S-Pr-Act-Ind	crepat	['krepa:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
crepusculum	['kreposkolom']	CREPUSCULUM	Noun	2	Nm-N-S	crepusculi:	['kreposkoli:']	Gn-N-S	G2			TRUE		
cre:sco:	['kre:sko:']	CRESCO	Verb	3	1-S-Pr-Act-Ind	cre:scit	['kre:sketi']	3-S-Pr-Act-Ind	V3					
cri:brum	['kreiðrom']	CRIBRUM	Noun	2	Nm-N-S	cri:bri:	['kreiðri:']	Gn-N-S	G2					
cri:men	['kreimen']	CRIMEN	Noun	3	Nm-N-S	cri:minis	['kreimenes']	Gn-N-S	G3					
cri:nis	['kriznis']	CRINIS	Noun	3	Nm-M-S	cri:nis	['kriznes']	Gn-M-S	G3					
crispus	['krispos']	CRISPUS	Adjective	2	Nm-M-S-Ps	crispi:	['krispi:']	Gn-M-S-Ps	G2			TRUE		
cru:dus	['krowoðos']	CRUDUS	Adjective	2	Nm-M-S-Ps	cru:di:	['krowoði:']	Gn-M-S-Ps	G2			TRUE		
cruor	['kruwo:s']	CRUOR	Noun	3	Nm-M-S	cruo:ris	['kruwo:ses']	Gn-M-S	G3	PARADIGM LEVELING		TRUE	[Paradigm Leveling] The nominative should be -o:s, but (as in color) was replaced by analogy with the regularly developing -r- of the oblique stem.	
cru:s	['kru:s']	CRUS	Noun	3	Nm-N-S	cru:ris	['kru:ses']	Gn-N-S	G3			TRUE		
crusta	['krusta:']	CRUSTA	Noun	1	Nm-F-S	crustae	['krusta:i:']	Gn-F-S	G1					
crux	['kruks']	CRUX	Noun	3	Nm-F-S	crucis	['krukes']	Gn-F-S	V3					
cubo:	['kuba:jo:']	CUBO	Verb	1	1-S-Pr-Act-Ind	cubat	['kuba:jeti']	3-S-Pr-Act-Ind	V3					
cu:do:	['ku:do:']		Verb	3	1-S-Pr-Act-Ind	cu:dit	['ku:deti']	3-S-Pr-Act-Ind	V3		TRUE	TRUE		
culex	['ku:liks']	CULEX	Noun	3	Nm-M-S	culicis	['ku:likes']	Gn-M-S	G3	PHONOLOGY, MORPHOLOGY		TRUE	[Phonology] Skt. śu:la- suggests the root was *ku:l-, which would have been shortened by Dybo's law (long pretonic vowels in front of resonants are shortened). [Morphology] The ending -ex is sometimes etymological but also spreads (as in iu:dex, which should be iu:dix).	
cuiius	['kʷojjos']	QUI	Pronoun	Special	Gn-M/F/N-S									
culmen	['kolamen']	CULMEN	Noun	3	Nm-N-S	culminis	['kolamenes']	Gn-N-S	G3					
culter	['koltros']	CULTER	Noun	2	Nm-M-S	cultri:	['koltri:']	Gn-M-S	G2			TRUE		
culpa	['kʷolpa:']	CULPA	Noun	1	Nm-F-S	culpae	['kʷolpa:i:']	Gn-F-S	G1					
cum	['kom']	CUM	Preposition											
cu:na	['koina:']	CUNA	Noun	1	Nm-F-S	cu:nae	['koina:i:']	Gn-F-S	G1				This word is attested only in the lexicalized plural. If a P. Ital. nom. plu. is reconstructed, it would have to be -a:s (Latin -ae is from the pronominal stems).	
cunctor	['konkita:jo:r']	CUNCTOR	Verb	1	1-S-Pr-Dep-Ind	cuncta:tur	['konkita:jetior']	3-S-Pr-Dep-Ind	V1			TRUE		
cunctus	['komkitos']	CUNCTUS	Adjective	2	Nm-M-S-Ps	cuncti:	['komkiti:']	Gn-M-S-Ps	G2			TRUE		
cunnus	['kutnos']	CUNNUS	Noun	2	Nm-M-S	cunni:	['kutni:']	Gn-M-S	G1			TRUE		
cupio	['kupjo:']	CUPIO	Verb	3	1-S-Pr-Act-Ind	cupit	['kupjeti']	3-S-Pr-Act-Ind	V3			TRUE		
curro:	['korzo:']	CURRO	Verb	3	1-S-Pr-Act-Ind	currit	['korzeti']	3-S-Pr-Act-Ind	V3					
currus	['korzos']	CURRUS	Noun	4	Nm-M-S	curru:s	['korzuos']	Gn-M-S	G4					
curtus	['kortos']	CURTUS	Adjective	2	Nm-M-S-Ps	curti:	['korti:']	Gn-M-S-Ps	G2					
curvus	['korwos']	CURVUS	Adjective	2	Nm-M-S-Ps	curvi:	['korwi:']	Gn-M-S-Ps	G2					
cu:do:	['ku:do:']	CUDO	Verb	3	1-S-Pr-Act-Ind	cu:dit	['ku:deti']	3-S-Pr-Act-Ind	V3					
cu:r	['kʷo:r']	CUR	Adverb		Ps									
cu:ra	['kʷoiza:']	CURA	Noun	1	Nm-F-S	cu:rae	['kʷoiza:i:']	Gn-F-S	G1					
cu:ria	['kowirija:']	CURIA	Noun	1	Nm-F-S	cu:riae	['kowirija:i:']	Gn-F-S	G1					
cu:ra:	['kʷoiza:']										TRUE		Appears as a separate lemma because of the lexicalizing of the ablative into a preposition.	
custo:s	['kustots']	CUSTOS	Noun	3	Nm-M-S	custo:dis	['kusto:des']	Gn-M-S	G3					
damnum	['dapnom']	DAMNUM	Noun	2	Nm-N-S	damni:	['dapni:']	Gn-N-S	G2					
daps	['dapis']	DAPS	Noun	3	Nm-F-S	dapes	['dapes']	Gn-F-S	G3			TRUE		
dea	['deiwa:']	DEA	Noun	1	Nm-F-S	deae	['deiwa:i:']	Gn-F-S	G1					
decem	['dekem']	DECEM	Numeral											
deceo:	['deke:jo:']	DECEO	Verb	2	1-S-Pr-Act-Ind	decet	['deke:jeti']	3-S-Pr-Act-Ind	V3					
decimus	['dekemos']	DECIMUS	Adjective	2	Nm-M-S-Ps	decimi:	['dekemi:']	Gn-M-S-Ps	G2					
decus	['dekos']	DECUS	Noun	3	Nm-N-S	decoris	['dekozes']	Gn-N-S	G3					
deiva:	['deiwa:']										TRUE		This should be di:va, but I would cut it. See under deus.	
deivos	['deiwos']										TRUE		See under deus.	
deus	['deiwos']	DEUS	Noun	2	Nm-M-S	deum	['deiwom']	Ac-M-S	A2				The normal outcome of deiw- before a back vowel is de-; but before a front vowel di:v-. The two different stems are then generalized out to fully independent paradigms. We therefore do not decline the genitive here, but we include one more back vowel form (the accusative singular, added here).	
dexter	['deksiteros']	DEXTER	Adjective	2	Nm-M-S-Ps	dexteri:	['deksiteri:']	Gn-M-S-Ps	G2					
de:	['de:']	DE	Preposition											
de:leo:	['de:olejo:']	DELEO	Verb	2	1-S-Pr-Act-Ind	de:let	['de:olejeti']	3-S-Pr-Act-Ind	V3			TRUE		
de:ns	['dents']	DENS	Noun	3	Nm-M-S	de:ntis	['dentes']	Gn-M-S	G3					
de:nsus	['densos']	DENSUS	Adjective	2	Nm-M-S-Ps	de:nsi:	['densi:']	Gn-M-S-Ps	G2				This is not a fully certain etymology.	
de:nuo:	['de: nowo:d']	DENUO	Adverb		Ps									
de:ri:vo:	['de:reiwa:jo:']	DERIVO	Verb	1	1-S-Pr-Act-Ind	de:ri:vat	['de:reiwa:jeti']	3-S-Pr-Act-Ind	V3					
difficilis	['dwisfakelis']	DIFFICILIS	Adjective	3	Nm-M/F-S-Ps	difficilis	['dwisfakeles']	Gn-M/F-S-Ps	G3					
difficulta:s	['dwisfakelita:ts']	DIFFICULTAS	Noun	3	Nm-F-S	difficulta:tis	['dwisfakelita:tes']	Gn-F-S	G3					
digitus	['dikitos']	DIGITUS	Noun	2	Nm-M-S	digiti:	['dikiti:']	Gn-M-S	G2	PHONOLOGY		TRUE	[Phonology] If -dic- 'point' is the correct root, then the voicing to -g- is unusual (perhaps perseverative after the voiced #d-).	
diŋnus	['deknos']	DIGNUS	Adjective	2	Nm-M-S-Ps	diŋni:	['dekni:']	Gn-M-S-Ps	G2				This word is attested only in the lexicalized plural. If a P. Ital. nominative plural is reconstructed, it would have to be -a:s (Latin -ae is from the pronominal stems).	
discipulus	['dwiskapelos']	DISCIPULUS	Noun	2	Nm-M-S	discipuli:	['dwiskapeli:']	Gn-M-S	G2					
disco:	['diksko:']	DISCO	Verb	3	1-S-Pr-Act-Ind	discit	['diksketi']	3-S-Pr-Act-Ind	V3				(1) We added a 'k' (the pre-form is *di-dk-sk-e/o-).  NOTE: Reconstruct the full proto-form? Otherwise, we're doing one of the cluster reductions ourselves, so to speak.	
dissipo:	['dwissupa:jo:']	DISSIPO	Verb	1	1-S-Pr-Act-Ind	dissipat	['dwissupa:jeti']	3-S-Pr-Act-Ind	V3					
distortus	['dwistorktos']	DISTORQUEO	Participle	2	Pf-Psv-Nm-M-S-Ps	distorti:	['dwistorkti:']	Pf-Psv-Gn-M-S-Ps	G2					
diu:s	['djous']										TRUE		Djous is the old nom (< *djeus = Zeus) that shows up in Iu:piter, but is not the immediate pre-form of diu:s. There is an adjective di:us, but this is a later development of di:vus.	
di:co:	['deiko:']	DICO	Verb	3	1-S-Pr-Act-Ind	di:cit	['deiketi']	3-S-Pr-Act-Ind	V3					
di:minuo:	['dwizminwo:']	DIMINUO	Verb	3	1-S-Pr-Act-Ind	di:minuit	['dwizminweti:']	3-S-Pr-Act-Ind	V3				These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.	
di:re:ctus	['dwizrektos']	DIRECTUS	Adjective	2	Nm-M-S-Ps	di:re:cti:	['dwizrekti:']	Gn-M-S-Ps	G2				These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.	
di:rigo:	['dwizrego:']	DIRIGO	Verb	3	1-S-Pr-Act-Ind	di:rigit	['dwizregeti']	3-S-Pr-Act-Ind	V3				These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.	
di:ruptio:	['dwizruptjo:']	DIRUPTIO	Noun	3	Nm-F-S	di:ruptio:nis	['dwizruptjo:nes']	Gn-F-S	Ve				These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.	
di:rus	['dweiros']	DIRUS	Adjective	2	Nm-M-S-Ps	di:ri:	['dweiri:']	Gn-M-S-Ps	G2	BORROWING			[Borrowing] The *dw- should become *b-, but there's some reason to think the form is non-Latin.	
di:vi:	['deiwei']	DEUS	Noun	2	Nm-M-P	di:vi:s	['deiwois']	Dt-M-P	DP2				The normal outcome of deiw- before a back vowel is de-; but before a front vowel di:v-. The two different stems are then generalized out to fully independent paradigms. We add forms with div- before front vowels here.	
di:ves	['deiwets']	DIVES	Adjective	3	Nm-M/F/N-S-Ps	di:tis	['deiwetes']	Gn-M/F/N-S-Ps	G3			TRUE	This is the original dimorphic paradigm; the -i:wi- that developed in the oblique cases contracted to -i:-. The dimorphism led to two parallel paradigms with a new nominative di:s and a new oblique di:vit-.	
di:xi:	['deiksai']	DICO	Verb	3	1-S-Pf-Act-Ind							TRUE		
doceo:	['dokejo:']	DOCEO	Verb	2	1-S-Pr-Act-Ind	docet	['dokejeti']	3-S-Pr-Act-Ind	V3					
doleo:	['dolejo:']	DOLEO	Verb	2	1-S-Pr-Act-Ind	dolet	['dolejeti']	3-S-Pr-Act-Ind	V3					
dolo:s	['dolo:s']	DOLOR	Noun	3	Nm-M-S	dolo:ris	['dolo:ses']	Gn-M-S	G3				The usual nominative -or is analogical.	
dolo:	['dolajo:']	DOLOR	Verb	1	1-S-Pr-Act-Ind	dolat	['dolajeti:']	3-S-Pr-Act-Ind	V3					
dominus	['domunos' 'domonos' 'domanos']	DOMINUS	Noun	2	Nm-M-S	domini:	['domuni:' 'domoni:' 'domani:']	Gn-M-S	G2					
domo:	['doma:jo:']	DOMO	Verb	1	1-S-Pr-Act-Ind	domat	['domajeti']	3-S-Pr-Act-Ind	V3					
domus	['domos']	DOMUS	Noun	4	Nm-F-S	domu:s	['domous']	Gn-F-S	G4					
dormio:	['dormjo:']	DORMIO	Verb	4	1-S-Pr-Act-Ind	dormit	['dormjeti']	3-S-Pr-Act-Ind	V3					
dorsum	['dorsom']	DORSUM	Noun	2	Nm-N-S	dorsi:	['dorsi:']	Gn-N-S	G2					
do:	['dao:']	DO	Verb	1	1-S-Pr-Act-Ind	dat	['dati']	3-S-Pr-Act-Ind	V3				We cut Wiktionary's etymon *dido:.  It's true that the inherited P. Ital. present was dido:. That form is preserved in Sabellic and in Latin compounds (reddo: < redido:). The Latin do:, however, is not the direct descendant of dido; it's apparently the root aorist of that verb repurposed as a present, so we have changed the form here.	
do:no:	['do:na:jo:']	DONO	Verb	1	1-S-Pr-Act-Ind	do:nat	['do:na:jeti']	3-S-Pr-Act-Ind	V3					
do:num	['do:nom']	DONUM	Noun	2	Nm-N-S	do:ni:	['do:ni:']	Gn-N-S	G2					
dorsum	['deworsom']		Noun	2	Nm-N-S	dorsi:	['deworsi:']	Gn-N-S	G2		TRUE	TRUE		
do:s	['do:tis']	DOS	Noun	3	Nm-F-S	do:tis	['do:tis']	Gn-F-S	G3					
dubius	['duifwos' 'dufwos']	DUBIUS	Adjective	2	Nm-M-S-Ps	dubii:	['duifwi:' 'dufwi:']	Gn-M-S-Ps	G2					
duellum	['dwellom']	DUELLUM	Noun	2	Nm-N-S	duelli:	['dwelli:']	Gn-N-S	G2	PHONOLOGY			[Phonology] Dw- universally becomes b- except in this word in archaic contexts, so it looks like a 'holdover' from archaic texts vel sim.	
dulcis	['dulkwis']	DULCIS	Adjective	3	Nm-M/F-S-Ps	dulcis	['dulkwes']	Gn-M/F-S-Ps	G3	PHONOLOGY			[Phonology] We do not use Wiktionary's etymon *dulkus. All indications are that already in P. Ital. the u- adjectives were turned into 3rd decl. adj. by affixing -is right to the stem. There isn't an obvious parallel for -lkw- > -lk-.	
dum	['dom']	DUM	Conjunction											
duo	['duo:']	DUO	Numeral	Special	Nm-M/N-P									
duonus	['dwe-nos']										TRUE		If the target is regular, late 2nd c. Latin, then this form shouldn't be a lemma (it's only Old Latin).	
duplex	['dupleks']	DUPLEX	Adjective	3	Nm-M/F/N-S-Ps	duplicis	['duplekes']	Gn-M/F/N-S-Ps	G3				*dwi- is manifestly the inherited form (hence words with bi-), but the productive form became du-, from the stem of du-o:. A dwiplos would have become biplus. Hence, we have cut the nominative Wiktionary etymon *dwipleks.	
duplus	['duplos']	DUPLUS	Adjective	2	Nm-M-S-Ps	dupli:	['duplos']	Gn-M-S-Ps	G2					
dux	['duks']	DUX	Noun	3	Nm-M/F-S	ducis	['dukes']	Gn-M/F-S	G3					
du:co:	['douko:']	DUCO	Verb	3	1-S-Pr-Act-Ind	du:cit	['douketi']	3-S-Pr-Act-Ind	V3					
du:mus	['dusmos']	DUMUS	Noun	2	Nm-M-S	du:mi:	['dusmi:']	Gn-M-S	G2			TRUE		
du:rus	['du:ros']	DURUS	Adjective	2	Nm-M-S-Ps	du:ri:	['du:ri:']	Gn-M-S-Ps	G2					
edo:	['edo:']	EDO	Verb	3	1-S-Pr-Act-Ind								We give no third person for this verb. The inherited 3rd sg is e:st, one of the few traces of athematic inflection remaining in Latin. That form survives to the classical period but is steadily replaced by edit. That probably does not come from a pre-form *edeti but was created after the endings had weakened, on the analogy of other third conjugation verbs.	
egeo:	['ege:jo:']	EGEO	Verb	2	1-S-Pr-Act-Ind	eget	['ege:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
ege:nus	['egeznos']	EGENUS	Adjective	2	Nm-M-S-Ps	ege:ni:	['egezni:']	Gn-M-S-Ps	G2			TRUE		
ego	['ego:']	EGO	Pronoun	Special	Nm-M/F/N-S								This is the normal form, from iambic shortening. Older Latin preserves the original ego:.	
ego:	['ego:']	EGO	Pronoun	Special	Nm-M/F/N-S									
emo:	['emo:']	EMO	Verb	3	1-S-Pr-Act-Ind	emit	['emit']	3-S-Pr-Act-Ind	V3					
enim	['enim']	ENIM	Conjunction										*eno is the demonstrative of which enim is an adverbialized accusative singular. It is not the direct pre-form of enim.	
eo:	['ejo:']	EO	Verb	Special	1-S-Pr-Act-Ind	it	['eiti:']	3-S-Pr-Act-Ind	V3					
epulum	['eplom']	EPULUM	Noun	2	Nm-N-S	epuli:	['epli:']	Gn-N-S	G2			TRUE		
equus	['ekwos']	EQUUS	Noun	2	Nm-M-S	equi:	['ekwi:']	Gn-M-S	G2					
ergo:	['erego:']	ERGO	Conjunction									TRUE		
error	['erzo:s']	ERROR	Noun	3	Nm-M-S	erro:ris	['erzo:ses']	Gn-M-S	G3	PARADIGM LEVELING			[Paradigm Leveling] The original nom. ending would have been -o:s, but the formation is unattested for error.	
erro:	['erza:jo:']	ERRO	Verb	1	1-S-Pr-Act-Ind	errat	['erza:jeti']	3-S-Pr-Act-Ind	V3					
erus	['ezos']	ERUS	Noun	2	Nm-M-S	eri:	['ezi:']	Gn-M-S	G2					
ex	['eks']	EX	Preposition											
exeo:	['eksejo:']	EXEO	Verb	Special	1-S-Pr-Act-Ind	exit	['ekseiti:']	3-S-Pr-Act-Ind	V3					
expello:	['ekspelno:']	EXPELLO	Verb	3	1-S-Pr-Act-Ind	expellit	['ekspelneti:']	3-S-Pr-Act-Ind	V3					
extre:mus	['eksterisemos']	EXTREMUS	Adjective	2	Nm-M-S-Sp	extre:mi:	['eksterisemi:']	Gn-M-S-Ps	G3					
e:brius	['e:ɣʷrjos']	EBRIUS	Adjective	2	Nm-M-S-Ps	e:brii:	['e:ɣʷrji:']	Gn-M-S-Ps	G2					
e:duco:	['eksduka:jo:']	EDUCO1	Verb	1	1-S-Pr-Act-Ind	e:ducat	['eksduka:jeti']	3-S-Pr-Act-Ind	V3					
e:du:co:	['eksdouko:']	EDUCO2	Verb	3	1-S-Pr-Act-Ind	e:du:cit	['eksdouketi']	3-S-Pr-Act-Ind	V3					
e:loco:	['ekstloka:jo:']	ELOCO	Verb	1	1-S-Pr-Act-Ind	e:locat	['ekstloka:jeti']	3-S-Pr-Act-Ind	V3					
e:lu:do:	['eksloido:']	ELUDO	Verb	3	1-S-Pr-Act-Ind	e:lu:dit	['eksloideti']	3-S-Pr-Act-Ind	V3					
e:nsis	['ensis']	ENSIS	Noun	3	Nm-M-S	e:nsis	['enses']	Gn-M-S	G3					
e:r	['χe:r']	ER	Noun	3	Nm-M-S	e:ris	['χe:res']	Gn-M-S	G3					
e:sca	['e:sska:']	ESCA	Noun	1	Nm-F-S	e:scae	['e:sska:i:']	Gn-F-S	G1					
e:sor	['esso:r']										TRUE		Not attested until very late (a reasonable formation, but still, in my opinion we should follow the criterion of de Vaan in his etymol. dict., viz. an etymology for every word that appears in Plautus).	
faba	['fafa:']	FABA	Noun	1	Nm-F-S	fabae	['fafa:i:']	Gn-F-S	G1	BORROWING			[Borrowing] Probable loan word. de Vaan imagines the substrate had fafa:, but Faliscan (supposedly) had faba and Old Prussian had babo. There's no known process whereby -f- (or -v-, if we assume voicing intervocalically) becomes -b-.	deVaan2008
faber	['faβros']	FABER	Noun	2	Nm-M-S	fabri:	['faβri:']	Gn-M-S	G2					
facie:s	['fakje:s']	FACIES	Noun	5	Nm-F-S								We leave off fifth declension genitives. They are historically -e:s, with -e:i: and -ei: later analogical replacements.	
facilis	['fakelis']	FACILIS	Adjective	3	Nm-M/F-S-Ps	facilis	['fakeles']	Gn-M/F-S-Ps	G3					
facinus	['fakinos']	FACINUS	Noun	3	Nm-N-S	facinoris	['fakinozes']	Gn-N-S	G3					
facio:	['fakjo:']	FACIO	Verb	3	1-S-Pr-Act-Ind	facit	['fakjeti']	3-S-Pr-Act-Ind	V3					
faculta:s	['fakelita:ts']	FACULTAS	Noun	3	Nm-F-S	faculta:tis	['fakelita:tes']	Gn-F-S	G3					
faex	['faiks' 'fraiks']	FAEX	Noun	3	Nm-F-S	faecis	['faikes' 'fraikes']	Gn-F-S	G3	BORROWING			[Borrowing] The possible protoform is IE *dʰra:́ks, but there's no known process whereby #fr- > #f- and a: > ae. The regular outcome of that root is attested in frace:s 'lees, dregs of oil.' Instead, this form may come from Etruscan.	
fallo:	['falso:']	FALLO	Verb	3	1-S-Pr-Act-Ind	fallit	['falseti']	3-S-Pr-Act-Ind	V3					
familia	['famelja:']	FAMILIA	Noun	1	Nm-F-S	familiae	['famelja:i:']	Gn-F-S	G1					
famulus	['famelos']	FAMULUS	Noun	2	Nm-M-S	famuli:	['fameli:']	Gn-M-S	G2					
farcio:	['farkjo:']	FARCIO	Verb	4	1-S-Pr-Act-Ind	farcit	['farkjeti']	3-S-Pr-Act-Ind	V3				The third and fourth conjugations are identical in origin (-ye/yo-, a present marker, is added to the root), but the fourth develops after heavy syllables. One theory is that Siever's Law produced a homorganic anaptyctic vowel (that is, *fark-jeti > *fark-i-jeti, and then, by normal rules, > fark-i-eti > farci:t) (the long i: is shortened later by sound law /_t#).	
fartum	['farktom']	FARTUM	Noun	2	Nm-N-S	farti:	['farkti:']	Gn-N-S	G2			TRUE		
fasti:gium	['farstjagjom']	FASTIGIUM	Noun	2	Nm-N-S	fasti:gii:	['farstjagji:']	Gn-N-S	G2					
fateor	['fate:o:r']	FATEOR	Verb	2	1-S-Pr-Dep-Ind	fate:tur	['fate:tor']	3-S-Pr-Dep-Ind	V3					
fatuus	['fatowos']	FATUUS	Adjective	2	Nm-M-S-Ps	fatui:	['fatowi:']	Gn-M-S-Ps	G2			TRUE		
fassus	['fattos']	FATEOR	Participle	2	Pf-Dep-Nm-M-S-Ps	fassi:	['fatti:']	Pf-Dep-Gn-M-S-Ps	G2			TRUE		
faustus	['favestos']	FAUSTUS	Adjective	2	Nm-M-S-Ps	fausti:	['favesti:']	Gn-M-S-Ps	G2			TRUE		
faveo:	['fawe:o:']	FAVEO	Verb	2	1-S-Pr-Act-Ind	favet	['fawe:eti']	3-S-Pr-Act-Ind	V3					
fa:bula	['fa:ðla:']	FABULA	Noun	1	Nm-F-S	fa:bulae	['fa:ðla:i:']	Gn-F-S	G1					
fa:bula:	['fa:ðla:']										TRUE		No need for a separate lemma for the ablative.	
fa:gus	['fa:gos']	FAGUS	Noun	2	Nm-F-S	fa:gi:	['fa:gi:']	Gn-F-S	G2					
fa:num	['faznom']	FANUM	Noun	2	Nm-N-S	fa:ni:	['fazni:']	Gn-N-S	G2					
febris	['feɣʷris']	FEBRIS	Noun	3	Nm-F-S	febris	['feɣʷres']	Gn-F-S	G3					
februum	['feɣʷrwom' 'feɣʷsrwom']	FEBRUUM	Noun	2	Nm-N-S	februi:	['feɣʷrwi:' 'feɣʷsrwi:']	Gn-N-S	G2					
fere:	['ferame:d']	FERE	Adverb		Ps					PHONOLOGY		TRUE	[Phonology] This assumes ferme: is the source of fere:	
ferme:	['ferame:d']	FERE	Adverb		Ps							TRUE	This assumes ferme: is the older variant of fere:	
festi:no:	['fristi:na:jo:']	FESTINO	Verb	1	1-S-Pr-Act-Ind	festi:nat	['fristi:na:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
fermentum	['feramentom']	FERMENTUM	Noun	2	Nm-N-S	fermenti:	['feramenti:']	Gn-N-S	G2					
fero:	['fero:']	FERO	Verb	Special	1-S-Pr-Act-Ind								fert is sometimes considered a remnant of athematic inflection but it could be non-regular syncopation in a very common verb (i.e. *fereti > *ferit > fer't). To provide a 3rd person form is to take a position on that controversy.	
